"sessiontitle","day","time","contenttrack","type","speakers","speakerpics","moderator-facilitator","venue"
"Registrations Open (Day-1)",""Day 1 - Friday, 6 Jan"","09:00","Registration","","","","","Expo Center Lahore"
"Doors Closed",""Day 1 - Friday, 6 Jan"","09:45 ","Opening Ceremony (VIP-only)","","","","","Pheonix Auditorium @Convention"
"Opening Ceremony Starts",""Day 1 - Friday, 6 Jan"","09:55","Opening Ceremony (VIP-only)","Performance","","","","Pheonix Auditorium @Convention"
"Keynote by Provincial IT Minister",""Day 1 - Friday, 6 Jan"","10:45","Opening Ceremony (VIP-only)","Keynote","Dr. Arslan Khalid, Special Adviser to CM Punjab on IT - Government of Punjab","","","Pheonix Auditorium @Convention"
"Saudi Ecosystem and Expansion Opportunities  ",""Day 1 - Friday, 6 Jan"","10:55","Opening Ceremony (VIP-only)","Fireside Chat","Abdel Karim Samakie, Innovation Driven Enterprise Director - Digital Cooperation Organization, Rizwan Saeed Sheikh, Additional Foreign Secretary for Middle East - Ministry of Foreign Affairs Islamabad","Abdel Karim Samakie.png (https://dl.airtable.com/.attachments/98710d307f0f7d426348c4b9034a299e/5be3cc1b/AbdelKarimSamakie.png),Rizwan Saeed Sheikh.png (https://dl.airtable.com/.attachments/bf5a8d115d2a171828436d10ae0134ca/febbec43/RizwanSaeedSheikh.png)","","Pheonix Auditorium @Convention"
"Closing Keynote by Chief Guest",""Day 1 - Friday, 6 Jan"","11:00 ","Opening Ceremony (VIP-only)","Keynote","President Dr. Arif Alvi,  - ","President Dr. Arif Alvi.png (https://dl.airtable.com/.attachments/2a704e3af86b6a533e1bb5b55e975503/df7d6478/PresidentDr.ArifAlvi.png)","","Pheonix Auditorium @Convention"
"Announcements",""Day 1 - Friday, 6 Jan"","11:15","Opening Ceremony (VIP-only)","Announcements","","","","Pheonix Auditorium @Convention"
"Awards",""Day 1 - Friday, 6 Jan"","11:25","Opening Ceremony (VIP-only)","Announcements","","","","Pheonix Auditorium @Convention"
"Opening Ends",""Day 1 - Friday, 6 Jan"","11:35","Opening Ceremony (VIP-only)","","","","","Pheonix Auditorium @Convention"
"Doors Closed",""Day 1 - Friday, 6 Jan"","11:50","World View","","","","","Pheonix Auditorium @Convention"
